,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Heatrate,CHP,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,plant life,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?,fuel switching
173,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,111,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50424,ESSEX   13 KV,13982.61413,0,41.8,0.9,46,46,38,N, , ,RE,X,12,1971,6,2015,43.5,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
174,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,112,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50425,ESSEX   13 KV,13982.61413,0,41.8,0.9,46,46,38,N, , ,RE,X,12,1971,6,2015,43.5,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
175,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,113,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50426,ESSEX   13 KV,13982.61413,0,41.8,0.9,46,46,38,N, , ,RE,X,12,1971,6,2015,43.5,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,, ,1H,,,,,,,,,N,N,0
176,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,114,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50427,ESSEX   13 KV,13982.61413,0,41.8,0.9,46,46,38,N, , ,RE,X,12,1971,6,2015,43.5,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,, ,1H,,,,,,,,,N,N,0
177,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,121,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50428,ESSEX   13 KV,13982.61413,0,41.8,0.9,46,46,38,N, , ,RE,X,6,1971,5,2015,43.91666667,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,, ,1H,,,,,,,,,N,N,0
178,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,122,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50429,ESSEX   13 KV,13982.61413,0,41.8,0.9,46,46,38,N, , ,RE,X,6,1971,5,2015,43.91666667,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
179,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,123,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50430,ESSEX   13 KV,13982.61413,0,41.8,0.9,46,46,38,N, , ,RE,X,6,1971,5,2015,43.91666667,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
180,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,124,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50431,ESSEX   13 KV,13982.61413,0,41.8,0.9,46,46,38,N, , ,RE,X,6,1971,5,2015,43.91666667,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,N, ,1H,,,,,,,,,N,N,0
181,65387,Essex Generating Station,2401,PSEG Essex Generating Station,NJ,Essex,9,Natural Gas Fired Combustion Turbine,GT,,S,X,X,50419,ESSEX   13 KV,13982.61413,0,93.6,0.9,81,81,53.3,N, , ,RE,X,7,1990,6,2022,31.91666667,N,IPP Non-CHP,2,X,NG,KER,,,,,,,,,N,N, ,1H,,,,,,,,Y,Y,Y,1
182,65388,Kearny Generating Station,2404,PSEG Kearny Generating Station,NJ,Hudson,10,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,11127.22793,0,146.2, ,122, , ,N, , ,RE,X,5,1970,6,2012,42.08333333,N,IPP Non-CHP,2,X,NG,DFO,,,,,,,,,N,, ,,,,,,,,,,N,Y,1
